# Summary generated on 2023-03-15 13:56:56.492053 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20230313041737_zq9JY; 2460016.678905352950; 2023-03-13 04:17:37.422495;    -1;  ...; 352.001794; 122.527290; 179.81811;  0.2926; +14.09716;  0.5624; 174.13058;  0.4821; +12.84100;  0.4203;  25.51295;  0.1001; 122.02066;  0.1329;  +8.50071;  0.2599;  38.34066;  0.2256;    2.812574;  0.1970;   0.808414;  0.0089;  11.043147;  0.3139; 271.372293;   1.1294; 352.002812;   0.0001; 263.375105;  1.1295; -11.039940;  0.3109;   0.538850;  0.0062; 268.624648;  1.1295; 350.919078;  0.7655;    5.086299;  0.3878;   0.208953;  0.0164;   4.716900;  0.5270;   2.699764;  0.0965; 178.42360;  0.2661; +15.14823;  0.5244;  97.09682;  0.4328;  36.34884;  0.4784;  28.13102;  0.0918;  25.59518;  0.0525;    35.303429;  0.0005;  -112.424693;  0.0004;  97.2472;    0.06;    35.315279;  0.0004;  -112.541545;  0.0001;  89.2776;    0.05;     0.52;  +1.70;  90.4908; 0.848; 2.43e-05; 27.77;        48.13;   True;   True;    2; USL00G,USL00M
20230313042556_3Rtcn; 2460016.684680741280; 2023-03-13 04:25:56.416047;    -1;  ...; 352.007558; 124.601276; 201.47926;  2.5215; +58.55282;  0.6131; 161.32821;  2.7993; +59.17279;  0.5705;  23.42322;  0.0983; 101.38544;  0.1901; +30.51546;  0.7020;  39.60710;  0.3879;    4.093936;  0.3427;   0.779940;  0.0295;  31.997431;  0.7472; 218.111882;   1.0879; 352.006521;   0.0000; 210.118403;  1.0878; -19.089347;  0.9170;   0.900911;  0.0028; 321.887050;  1.0878; 356.847209;  0.9784;    7.286961;  0.6828;   0.118985;  0.0283;   8.283468;  0.9251;   2.212727;  0.1594; 196.82196;  2.4468; +58.09878;  0.4841;  39.55352;  0.3140;  37.79303;  1.4016;  26.11337;  0.0891;  24.55716;  0.0841;    34.388636;  0.0008;  -112.449972;  0.0013;  99.9453;    0.18;    34.307669;  0.0007;  -112.530655;  0.0010;  90.8013;    0.12;     0.72;  +0.98;  96.1612; 0.414; 8.37e-05; 12.81;        73.65;   True;   True;    2; USL00B,USL00E
20230313042700_kpmZY; 2460016.685422091279; 2023-03-13 04:27:00.468687;    -1;  ...; 352.008297; 127.336643;  92.33121;  0.1541; -22.19342;  0.0875;  93.08604;  0.2057; -45.60614;  0.0857;  10.11430;  0.0076;  83.38272;  0.0374; -11.07997;  0.0237;  37.61976;  0.0104;    2.396565;  0.0050;   0.585655;  0.0009;  11.083102;  0.0238;   3.659773;   0.1023; 172.003662;   0.0000; 175.663435;  0.1023;   0.703067;  0.0203;   0.993004;  0.0000; 356.343038;  0.1023; 359.225045;  0.0241;    3.800126;  0.0100;   0.265657;  0.0008;   3.710089;  0.0116;   3.251130;  0.0042;  99.98955;  0.1315; -12.75699;  0.0781; 214.18014;  0.1643;  37.10673;  0.0672;  14.84540;  0.0051;  12.32668;  0.0170;    33.260518;  0.0002;  -109.967258;  0.0002;  83.6684;    0.01;    33.401448;  0.0004;  -109.854944;  0.0001;  69.2228;    0.04;     2.06;  +1.04;  79.4455; 0.292; 8.37e-04; 74.43;       104.64;   True;   True;    3; USL00Y,USL012,USL015
20230313043358_Cnxl6; 2460016.690265742596; 2023-03-13 04:33:58.960160;    -1;  ...; 352.013130; 129.896454;  57.61769;  0.2687; +15.96207;  0.0665;  58.92189;  0.2521;  -4.05052;  0.0892;   8.07014;  0.0126;  76.46299;  0.0569;  -0.87379;  0.0182;  37.54930;  0.0052;    2.362783;  0.0024;   0.584747;  0.0005;   0.877843;  0.0182; 344.973509;   0.1518; 171.973912;   0.0008; 156.947421;  0.1523;  -0.227586;  0.0038;   0.981153;  0.0003;  15.063901;  0.1523;   3.229483;  0.0315;    3.744413;  0.0049;   0.271374;  0.0004;   3.631921;  0.0056;   3.295669;  0.0021;  72.45455;  0.2423; +23.30692;  0.0624; 274.21496;  0.1612;  39.08894;  0.1865;  13.43074;  0.0074;  13.04250;  0.0046;    33.508684;  0.0002;  -109.156780;  0.0002;  78.9144;    0.02;    33.499652;  0.0002;  -109.012132;  0.0003;  67.8421;    0.02;     1.35;  +0.86;  69.3144; 0.867; 5.95e-04; 89.39;        69.52;   True;   True;    2; USL00Y,USL016
20230313043631_OHP33; 2460016.692035680171; 2023-03-13 04:36:31.882767;    -1;  ...; 352.014896; 128.704952; 166.99420;  0.2411;  -5.59196;  0.6077; 170.24346;  0.4136; -10.28190;  0.5110;  20.07384;  0.6987; 114.23398;  0.8602;  -5.66609;  0.2552;  36.31678;  0.4699;    1.901664;  0.1302;   0.667297;  0.0273;   6.689262;  0.3100;  84.716116;   0.7318; 172.007872;   0.0003; 256.723988;  0.7319;   6.660708;  0.3114;   0.632689;  0.0062; 275.289101;  0.7319; 342.393105;  2.4006;    3.170640;  0.2656;   0.375841;  0.0418;   2.622415;  0.2673;   3.630995;  0.1948; 165.77122;  0.1664;  -2.89445;  0.4928; 129.38040;  0.3944;  38.84970;  0.4287;  23.17536;  0.6069;  21.63281;  0.4998;    34.602835;  0.0001;  -110.987551;  0.0004;  86.0905;    0.07;    34.632910;  0.0001;  -111.031994;  0.0004;  81.8012;    0.07;     0.32;  +2.33;  84.4283; 0.388; 2.01e-05; 32.17;        37.14;   True;   True;    2; USL007,USL00J
20230313043832_iphbu; 2460016.693435650785; 2023-03-13 04:38:32.840228;    -1;  ...; 352.016292; 127.806291; 165.44287;  0.2878; +31.62606;  0.9626; 153.83381;  0.6448; +23.32730;  0.7963;  14.19133;  0.3572; 101.30029;  0.2744;  +8.85531;  0.4092;  36.48797;  0.2990;    1.953862;  0.0850;   0.567671;  0.0201;   9.372483;  0.4398; 234.134875;   1.0309; 352.018364;   0.0002; 226.153239;  1.0311;  -7.583741;  0.2687;   0.844712;  0.0027; 305.861139;  1.0311; 346.239305;  1.3679;    3.063012;  0.1687;   0.360881;  0.0264;   2.731124;  0.1744;   3.658974;  0.1209; 163.06587;  0.1945; +32.13293;  0.8232;  86.88625;  1.6196;  60.68739;  0.3568;  18.20828;  0.2770;  15.93428;  0.0178;    35.821224;  0.0006;  -112.391139;  0.0003;  84.9235;    0.04;    35.818355;  0.0009;  -112.455953;  0.0003;  74.4225;    0.05;     0.76;  +0.08;  82.0361; 0.275; 5.48e-04; 36.04;        97.63;   True;   True;    5; US000U,USL008,USL00C,USL00G,USL00M
20230313043913_ssO7M; 2460016.693910600152; 2023-03-13 04:39:13.875853;    -1;  ...; 352.016766; 239.000170; 262.70085;  0.9276; +53.93575;  0.1192; 250.75364;  2.2577; +76.88536;  0.2123;  31.49969;  0.2148;  84.31669;  0.7825; +53.17066;  0.2679;  38.32409;  0.1076;    2.801179;  0.0696;   0.645505;  0.0094;  53.192771;  0.2825; 183.515126;   1.1506; 352.018996;   0.0000; 175.534121;  1.1506;  -2.813772;  0.9316;   0.993005;  0.0005; 356.482016;  1.1506; 359.420872;  0.1729;    4.609352;  0.1396;   0.210229;  0.0083;   4.688261;  0.1728;   2.529302;  0.0503; 262.89587;  0.8905; +53.78360;  0.1162;  75.57463;  0.6601;  75.69267;  0.4630;  33.46751;  0.2025;  33.20647;  0.1874;    52.560090;  0.0003;    -1.368757;  0.0006;  99.7053;    0.06;    52.551942;  0.0004;    -1.420654;  0.0009;  85.2609;    0.07;     0.45;  +0.93;  86.4502; 0.918; 3.60e-05; 20.66;        45.11;   True;   True;    2; UK0026,UK006L
20230313044355_rM8ez; 2460016.697167789098; 2023-03-13 04:43:55.296978;    -1;  ...; 352.020016; 130.198250; 140.82117;  0.0716; -18.64056;  0.4723; 150.11661;  0.2615; -32.09698;  0.4230;  15.87836;  0.2371; 100.96300;  0.2520; -12.85429;  0.0349;  37.93551;  0.2157;    2.561712;  0.1116;   0.661276;  0.0164;  13.564159;  0.0249;  47.052256;   0.1614; 172.015658;   0.0000; 219.067914;  0.1614;   9.885115;  0.0378;   0.867713;  0.0012; 312.950367;  0.1614; 352.099570;  0.6524;    4.255711;  0.2245;   0.240386;  0.0173;   4.100116;  0.2636;   3.054789;  0.0911; 141.23216;  0.0552; -13.63019;  0.3060; 165.77197;  0.0811;  40.81983;  0.3056;  19.44347;  0.1933;  19.32030;  0.1833;    34.418966;  0.0003;  -111.346516;  0.0002;  96.1461;    0.10;    34.519909;  0.0001;  -111.377446;  0.0001;  86.0396;    0.06;     0.80;  +2.04;  87.8351; 0.822; 6.02e-05; 38.63;        39.45;   True;   True;    2; USL007,USL00J
20230313045705_NwQ2V; 2460016.706313872710; 2023-03-13 04:57:05.518602;    -1;  ...; 352.029143; 137.992358;  29.19536;  0.1372; +51.54044;  0.0450;  47.36906;  0.1174; +36.71023;  0.0218;  10.85518;  0.0029;  73.71755;  0.0238;  +9.80919;  0.0054;  38.07240;  0.0094;    2.641147;  0.0056;   0.633594;  0.0007;   9.911321;  0.0055; 158.819058;   0.0749; 352.031439;   0.0000; 150.850497;  0.0749;   3.565571;  0.0128;   0.967732;  0.0002;  21.176984;  0.0749;   3.740840;  0.0253;    4.314563;  0.0110;   0.229623;  0.0007;   4.292295;  0.0136;   3.056306;  0.0039;  48.14281;  0.1436; +58.54305;  0.0232; 323.49651;  0.0281;  28.68667;  0.0734;  15.32368;  0.0020;  15.00584;  0.0019;    34.149156;  0.0001;  -106.851227;  0.0001;  89.4411;    0.02;    33.983632;  0.0001;  -106.704410;  0.0001;  76.8288;    0.02;     1.79;  +1.40;  80.6624; 0.696; 3.93e-04; 35.16;        54.17;   True;   True;    2; US000C,US000G
20230313050205_eFCbl; 2460016.709782326128; 2023-03-13 05:02:05.192977;    -1;  ...; 352.032603; 135.925568; 183.85968;  0.2324;  -4.96908;  0.1216; 185.51543;  0.2503;  -3.02653;  0.0768;  27.91236;  0.1362; 130.64894;  0.0848;  -2.38173;  0.0617;  35.52464;  0.1743;    1.694951;  0.0381;   0.798101;  0.0037;   3.600884;  0.0960; 118.509542;   0.5214; 172.020529;   0.0003; 290.530071;  0.5214;   3.163757;  0.0861;   0.342209;  0.0019; 241.500892;  0.5214; 340.326506;  0.7810;    3.047692;  0.0744;   0.446651;  0.0160;   2.206664;  0.0735;   3.756802;  0.0698; 183.00924;  0.2087;  -3.44964;  0.1065; 120.47375;  0.1319;  31.98471;  0.2060;  30.32481;  0.1264;  28.19181;  0.0558;    34.020436;  0.0001;  -110.172753;  0.0001;  94.6966;    0.03;    34.081339;  0.0001;  -110.297433;  0.0002;  86.2689;    0.03;     0.56;  +1.19;  90.8274; 0.459; 4.34e-05; 44.22;        37.64;   True;   True;    2; USL013,USL01A
